Cage,AnimalID,Sex,Birthdate,InjuryDate,DaysToClose,AgeAtInjury,AgeCat,Euthdate,DaysPostInjury
1074455,1074455-1,F,7/9/20,10/5/20,45,88,3-4mo,12/10/20,66
1074455,1074455-2,F,7/9/20,10/5/20,45,88,3-4mo,12/10/20,66
1068572,1068572-3,M,6/29/20,10/5/20,55,98,3-4mo,12/10/20,66
1068572,1068572-2,M,6/28/20,10/5/20,50,99,3-4mo,12/10/20,66
1068572,1068572-1,M,6/19/20,10/5/20,40,108,3-4mo,12/10/20,66
1064394,1064394-1,M,6/9/20,10/5/20,40,118,3-4mo,12/10/20,66
1064394,1064394-2,M,6/9/20,10/5/20,40,118,3-4mo,12/10/20,66
1062366,1062366-1,M,5/21/20,10/5/20,45,137,4-6mo,12/10/20,66
1062366,1062366-2,M,5/21/20,10/5/20,50,137,4-6mo,12/10/20,66
957162,957162-1,F,3/18/19,8/23/19,95,158,4-6mo,12/20/19,119
957162,957162-2,F,3/18/19,8/23/19,85,158,4-6mo,12/20/19,119
1058108,1058108-1,M,4/13/20,10/5/20,55,175,4-6mo,12/10/20,66
1058108,1058108-2,M,4/13/20,10/5/20,50,175,4-6mo,12/10/20,66
1058108,1058108-3,M,4/13/20,10/5/20,45,175,4-6mo,12/10/20,66
941702,941702-3,M,2/5/19,8/23/19,70,199,6-9mo,12/20/19,119
941702,941702-2,M,1/23/19,8/23/19,75,212,6-9mo,12/20/19,119
941702,941702-1,M,1/17/19,8/23/19,105,218,6-9mo,12/20/19,119
927693,927693-1,M,11/30/18,8/23/19,105,266,6-9mo,12/20/19,119
927693,927693-2,M,11/30/18,8/23/19,110,266,6-9mo,12/20/19,119
922587,922587-1,F,11/12/18,8/23/19,95,284,6-9mo,12/20/19,119
922587,922587-2,F,11/12/18,8/23/19,110,284,6-9mo,12/20/19,119
990342,990342-1,F,3/18/18,2/12/20,NA,696,≥ 22mo,5/7/20,85
990342,990342-2,F,3/18/18,2/12/20,NA,696,≥ 22mo,5/7/20,85
1001363,1001363-1,F,4/4/17,2/12/20,85,1044,≥ 22mo,5/7/20,85
1001363,1001363-2,F,4/4/17,2/12/20,NA,1044,≥ 22mo,5/7/20,85